m,n,m/n,nClass,meanAll,avgSTDAll,entropyClass,Q75,Q25,Q75-Q25,ChiClass,avgChiAll,medChiAll,stdChiAll,minChiAll,maxChiAll,avgPearCorrClass,avgPearCorrAll,avgKendCorrClass,avgKendCorrAll,avgSpeaCorrClass,avgSpeaCorrAll,avgCovClass,avgCovAll,avgKLNormAll,avgKLUnifAll,avgKLLogiAll,avgKLExpoAll,avgKLChiAll,avgKLRaylAll,avgKLParetAll,avgKLZipfAll,KLNormClass,KLUnifClass,KLLogiClass,KLExpoClass,KLChiClass,KLRaylClass,KLParetClass,KLZipfClass,radComClass,class
696,65,10.70769231,3,0.470508302,0.111881674,6.440051758,2,1,1,263.5294118,19.09261067,17.96406724,5.118883624,8.879137413,31.19644059,0.114742294,0.712619937,0.07115897,0.506021255,0.087616942,0.655186333,0.019255377,0.008872322,0,0,88.04897701,2030.869811,0,0,-252.6541938,707.9120819,-310.464493,526.0165003,-467.8096239,-71.27615445,98.33713293,2048.030482,-424.3286277,111.7184041,0.110153257,0.391118012
696,65,10.70769231,3,0.411669843,0.12283551,6.437042634,3,1,2,273.2387097,26.87045526,29.03096613,10.2310236,5.573111089,46.00458623,-0.005231113,0.622074624,0.007626237,0.45560877,0.004833483,0.593311151,0.009809484,0.009655586,0,0,35.66889846,2075.652359,0,0,-280.1614873,614.4292972,-273.8611869,697.2614713,-446.9532292,-67.54617155,66.75625434,2150.05251,-400.7550305,149.3056247,0.103927203,0.390973085
696,65,10.70769231,3,0.526285371,0.131587193,6.438516343,3,1,2,268.4675325,23.38153,23.15791381,4.765528984,13.50321598,36.20168403,0.077431024,0.657371029,0.073283345,0.496348776,0.090517928,0.651586436,0.017240646,0.011501126,0,0,149.3675051,2070.841944,0,0,-256.5773781,706.0695803,-275.9198369,602.2550417,-481.4878182,-26.77563112,143.4547677,2026.272989,-438.8623527,110.3214725,0.105842912,0.350538302
696,65,10.70769231,3,0.400277712,0.132656045,6.438516343,3,1,2,268.4675325,31.25014633,31.7644422,7.026364089,13.12362186,46.65800819,-0.040889811,0.688254536,0.000347814,0.503655221,-0.003262869,0.656333402,0.004543045,0.012289143,0,0,48.4157737,2111.326404,0,0,-251.777657,766.1095103,-286.1370375,672.2238873,-452.9499044,-109.3996546,27.91975822,1979.529591,-400.2577936,169.2670932,0.105842912,0.362008282
696,65,10.70769231,3,0.516052525,0.097621273,6.440051758,2,1,1,263.5294118,13.25410224,12.94723674,3.93520411,5.932120834,24.48186749,0.068657108,0.680728538,0.07381901,0.440414381,0.09125268,0.582888504,0.014272908,0.006456368,0,0,139.651892,2112.779497,0,0,-271.5345245,687.3899074,-247.8319837,726.6080918,-492.6631317,-80.14935972,136.2087475,2039.908087,-427.048236,137.0932518,0.110153257,0.452795031
696,65,10.70769231,3,0.514016915,0.115216669,6.440051758,2,1,1,263.5294118,21.0117939,20.23403737,11.35213457,3.956475893,43.58794601,-0.074386447,0.508465669,-0.041389692,0.397548306,-0.058273655,0.530967906,0.002361217,0.007132774,0,0,141.2107054,2028.293861,0,0,-248.6203398,677.200268,-271.4518196,596.100923,-483.7996302,-90.35261911,145.7747083,2082.914894,-445.3295122,28.01666882,0.108716475,0.415217391
696,65,10.70769231,3,0.447520943,0.130930241,6.437042634,3,1,2,273.2387097,27.16358044,25.19434788,6.190154875,15.78397969,41.11327655,-0.066399575,0.695504985,-0.028801665,0.513890045,-0.042276051,0.663150098,0.001918829,0.011966707,0,0,76.85345414,2056.596128,0,0,-288.4360295,684.208554,-268.2945041,734.6648715,-458.3688655,-38.57254658,97.36019412,2149.981388,-427.8611377,73.41823927,0.110632184,0.409544513
696,65,10.70769231,3,0.474689481,0.103978206,6.438516343,3,1,2,268.4675325,16.23939261,15.12987702,4.507517921,10.1250288,26.12117827,-0.044426952,0.690031472,-0.029434044,0.458831931,-0.042453718,0.595014034,0.005800918,0.00741385,0,0,112.7459263,2139.286657,0,0,-246.2437488,746.440415,-294.4969454,639.3578525,-485.8244978,-99.31899702,97.3722834,2037.225803,-417.7292407,142.8314203,0.108237548,0.366293996
696,65,10.70769231,3,0.440147886,0.13201942,6.438516343,3,1,2,268.4675325,28.10569662,25.76496766,6.271957193,20.47466858,51.92722366,-0.046451773,0.863741389,-0.033551853,0.673963356,-0.04735251,0.823287847,0.003931814,0.014998285,0,0,71.96979261,2067.087709,0,0,-297.1902762,651.8279808,-256.9743565,727.1238884,-473.6462513,-114.9335783,71.60211129,2045.789227,-417.0479442,88.52328933,0.113984674,0.336128364
696,65,10.70769231,3,0.52343872,0.130800476,6.437042634,3,1,2,273.2387097,23.2968888,23.84228535,5.659301828,7.446444615,33.54088973,-0.081757334,0.726980474,-0.066925549,0.53275938,-0.089716097,0.690349688,0.000511135,0.012525845,0,0,131.3084371,2056.979833,0,0,-270.3462047,654.4061885,-241.4879685,808.7684165,-501.7832464,-103.2244279,108.3230411,1928.890806,-432.3645798,121.8751279,0.106800766,0.435403727
